channel,N_bins,RMS_LCDM_vs_obs,RMS_SBC_vs_obs,RMS_SBC_vs_LCDM
TT,215,2.5555527852550226e+20,2.554070837429433e+20,0.0010594719191944634
EE,199,2.4349925242366244e+18,2.436133521306048e+18,0.001055257972843555
TE,199,6.092748275256236e+18,6.092791239793823e+18,0.001309349982415736
