model,chi2_CMB,chi2_BAO,chi2_growth,chi2_Pantheon,chi2_total,k_params,N_eff,AIC_proxy,BIC_proxy
LCDM_reference,0.0,32.9966803371663,1.039660918972394,1458.1608712309626,1492.1972124871013,0,1650,1492.1972124871013,1492.1972124871013
SBC_F3_current,2.1262599802392113,32.9966803371663,1.039660918972394,1458.1608712309626,1494.3234724673405,3,1650,1500.3234724673405,1516.5490641680244
