observable,value,tolerance,chi2
TT_RMS,0.0013489819117518428,0.001,1.8197521982336569
EE_RMS,6.369047256278739e-05,0.001,0.004056476295271173
TE_robust_RMS,0.0003031668340143104,0.001,0.09191012924626045
PP_RMS,0.00019018809450617628,0.001,0.03617151129189024
sigma8,0.8231969271850141,0.0005,0.6302047608130672
Pk_RMS,0.0038001594339190084,0.01,0.14441211723203637
