epsilon,k0,n,log_prob
0.06493418173856383,0.03837402402600325,0.5872540378640684,-1.941631756504378
0.06058203218134115,0.02350853895500677,0.36921529048086554,-1.513880215610462
0.06113168454894729,0.0280133731450234,0.4236566521484018,-1.5665383204214147
0.08109423947985754,0.01714311082161877,0.9589383030263341,-2.2981045833243527
0.08464601417257141,0.025791125377669564,0.8978925153832755,-2.6778082613917267
0.06865171211513535,0.026153302248505175,0.4553972790234676,-1.929809228885778
0.06492124779167754,0.02694920083952411,0.3109381284081135,-1.810414184591629
0.0953663105627055,0.03417606423567387,0.9263516595851841,-3.8181340125858463
0.07271167128384359,0.02882973331780269,0.5832299398144664,-2.1730275333826015
0.09797621160959971,0.021887104879070193,0.409478549196356,-4.012512146693768
0.06500610508991199,0.03954057211552683,0.027956100211466217,-2.689727588438889
0.07317311191630295,0.02020351445069514,0.8311427574646642,-1.9835063803109767
0.07536817832001376,0.01693802270653112,0.30179009779231203,-2.2361318460276656
0.07626030489395125,0.016120765363742177,0.9535039243733077,-2.0414963239741595
0.060225200233365715,0.019199164035833736,0.42308923592526804,-1.4653919288635362
0.07097105865204568,0.02145290335812508,0.632161624962778,-1.9291175851637092
0.06611878913190507,0.017133917103404724,0.8447142034474652,-1.6109237321770173
0.07795869714672082,0.02996778708928223,0.9647001734647681,-2.326520297632352
0.07362141768944563,0.024413202112507353,0.15964306249294402,-2.408028976338822
0.08734764521975001,0.0218529948987941,0.8155079752575382,-2.820146927807465
0.06927742377279886,0.02619303068065887,0.10748591965726617,-2.231593734549307
0.07273184789410422,0.03910447639281918,0.01788895644342925,-3.510417388310558
0.07508284783785005,0.03463556776053667,0.4212228142654538,-2.721091922627869
0.06828842974349549,0.01851354034811968,0.618877660063178,-1.771463588187143
0.09793520312441778,0.030962183310251305,0.5277229068599748,-4.474182996015722
0.07714718860067937,0.02906752002585551,0.10785701472189756,-2.9914984364071393
0.06127709247486286,0.03258361293826511,0.975457977369591,-1.458898299777853
0.06247131837161898,0.03717231113468107,0.5735558803067119,-1.7514542425363049
0.06491008178391922,0.025997960864692454,0.47330333743770936,-1.7112090731667693
0.07073838154423132,0.023287354443558672,0.11895719518382453,-2.2137463757469034
0.0959049967997092,0.018827405005662726,0.6678784796971221,-3.423510971135168
0.0643684731552529,0.019820682932623873,0.41849233396897456,-1.6564030948482842
0.06493418173856383,0.03837402402600325,0.5872540378640684,-1.941631756504378
0.06058203218134115,0.02350853895500677,0.36921529048086554,-1.513880215610462
0.060849000007314476,0.027299468249054284,0.4574270749442489,-1.5301127738654259
0.08109423947985754,0.01714311082161877,0.9589383030263341,-2.2981045833243527
0.08464601417257141,0.025791125377669564,0.8978925153832755,-2.6778082613917267
0.06865171211513535,0.026153302248505175,0.4553972790234676,-1.929809228885778
0.06406776295673185,0.029087400795804214,0.2328842174200299,-1.890499762010553
0.0953663105627055,0.03417606423567387,0.9263516595851841,-3.8181340125858463
0.07772753188896774,0.030650359215944226,0.6539048342474619,-2.530424695197566
0.09741312321209294,0.02210516278336954,0.39945679098111275,-3.9834818932286726
0.06341961440588015,0.033791419291670885,0.15033304502939143,-2.107845024588043
0.07384536712630085,0.025283810065938495,0.6868448917815018,-2.1115206710939485
0.07536817832001376,0.01693802270653112,0.30179009779231203,-2.2361318460276656
0.07563782769613223,0.0157989404649491,0.9612514390334364,-2.00661376614869
0.060225200233365715,0.019199164035833736,0.42308923592526804,-1.4653919288635362
0.07097105865204568,0.02145290335812508,0.632161624962778,-1.9291175851637092
0.06220250450934843,0.015429796487429795,0.852248540453684,-1.4554504699264876
0.07795869714672082,0.02996778708928223,0.9647001734647681,-2.326520297632352
0.07421325089638434,0.02424260593212997,0.14713262630639828,-2.462326128519956
0.08869092114831398,0.020624601083076503,0.838072949477183,-2.87342321705623
0.06927742377279886,0.02619303068065887,0.10748591965726617,-2.231593734549307
0.07440645303931734,0.03809986940140686,0.044931797156328224,-3.5564117388754193
0.07567395385455647,0.03910261131803761,0.29434341588417856,-3.237659002906617
0.06828842974349549,0.01851354034811968,0.618877660063178,-1.771463588187143
0.08555453935352018,0.028491681815993677,0.47518574725693163,-3.2065025587051683
0.077234457465877,0.02966252921606604,0.09834368010670963,-3.0453964787580885
0.06127709247486286,0.03258361293826511,0.975457977369591,-1.458898299777853
0.06282867598395708,0.03697495937604983,0.5622161074635033,-1.776165432741534
0.0663431418506768,0.01850467773874309,0.7838340042734431,-1.649647307340535
0.06990217141008073,0.024108978802138366,0.1946566721494346,-2.1439829815132665
0.10772497022717614,0.018111864822479635,0.582985412766468,-4.487811110472052
0.06415515835045611,0.019891814553339115,0.40758783649363634,-1.6503875203398184
0.06502717662622981,0.036349554042599486,0.5182538177249546,-1.9329588640767033
0.06058203218134115,0.02350853895500677,0.36921529048086554,-1.513880215610462
0.060842754174526566,0.027222373026274675,0.4498690480206583,-1.5315812720329487
0.07967203159939659,0.01769971609704065,0.9219789212673932,-2.2437843347639532
0.08464601417257141,0.025791125377669564,0.8978925153832755,-2.6778082613917267
0.07172755794085724,0.026091944294419366,0.4986401251178788,-2.0849284876961307
0.06406776295673185,0.029087400795804214,0.2328842174200299,-1.890499762010553
0.0915574661797349,0.03062811758804407,0.9330895233032104,-3.3269717675392063
0.08574104936725259,0.025812398695504037,0.6956536580880309,-2.891967386366531
0.09741312321209294,0.02210516278336954,0.39945679098111275,-3.9834818932286726
0.06566550609327483,0.031958729667040726,0.2659071938818986,-2.0884912975176992
0.06364042962791452,0.024804475723652252,0.48743759712476686,-1.6278071742767348
0.07585524186970288,0.016865294639707196,0.2978885938440654,-2.2632146980476864
0.07563782769613223,0.0157989404649491,0.9612514390334364,-2.00661376614869
0.060225200233365715,0.019199164035833736,0.42308923592526804,-1.4653919288635362
0.07113724361371238,0.021039950729898584,0.7001825919626431,-1.915825577723486
0.06220250450934843,0.015429796487429795,0.852248540453684,-1.4554504699264876
0.07795869714672082,0.02996778708928223,0.9647001734647681,-2.326520297632352
0.07421325089638434,0.02424260593212997,0.14713262630639828,-2.462326128519956
0.08448989310039616,0.022068463754162874,0.7348199541516243,-2.6717175801203523
0.07031095384622289,0.028278917818448653,0.1376777329258388,-2.357063354963355
0.0751285293923252,0.03630913400353048,0.07570389375749374,-3.393781832541986
0.08052690170585725,0.03989432035458033,0.1889247057171462,-4.187353434351308
0.06828842974349549,0.01851354034811968,0.618877660063178,-1.771463588187143
0.08555453935352018,0.028491681815993677,0.47518574725693163,-3.2065025587051683
0.0768355267120997,0.032075813646386765,0.14844950605073975,-3.090724875514938
0.06127709247486286,0.03258361293826511,0.975457977369591,-1.458898299777853
0.06234252456014093,0.03692772434916363,0.5839369009086629,-1.7315937043523897
0.0663431418506768,0.01850467773874309,0.7838340042734431,-1.649647307340535
0.06990217141008073,0.024108978802138366,0.1946566721494346,-2.1439829815132665
0.10487362304452497,0.019110635501452793,0.5975986515021267,-4.265008407616824
0.0656285156199693,0.023258589869939686,0.07207312986507153,-1.926715076849711
0.06777258586494264,0.03910657204085408,0.18353798917247255,-2.71112217452055
0.06058203218134115,0.02350853895500677,0.36921529048086554,-1.513880215610462
0.060842754174526566,0.027222373026274675,0.4498690480206583,-1.5315812720329487
0.07967203159939659,0.01769971609704065,0.9219789212673932,-2.2437843347639532
0.08453319334876526,0.02578893360040539,0.9187290643786774,-2.658791239263148
0.07066676929961353,0.02584928451775151,0.47539952404002694,-2.035726626762388
0.06165550570132945,0.028522789739469093,0.24883675609562583,-1.706455161430982
0.0915574661797349,0.03062811758804407,0.9330895233032104,-3.3269717675392063
0.08569547922217922,0.025935470624913887,0.6912249933527801,-2.8977169241957372
0.09741312321209294,0.02210516278336954,0.39945679098111275,-3.9834818932286726
0.06954699253267438,0.03577068275586247,0.11784951763474,-2.7532370481367296
0.06324751684189883,0.02474192411775796,0.4868933227774503,-1.6086787934510118
0.07585524186970288,0.016865294639707196,0.2978885938440654,-2.2632146980476864
0.07559574844671854,0.016048350047656142,0.937203940450573,-2.0143795124846604
0.06117069217222662,0.019444218003181808,0.4331891335466613,-1.505123603539877
0.07243445630512871,0.02223258498768539,0.596710359206176,-2.0253811227449945
0.06220250450934843,0.015429796487429795,0.852248540453684,-1.4554504699264876
0.07795869714672082,0.02996778708928223,0.9647001734647681,-2.326520297632352
0.07420557994674376,0.024288072720998154,0.14274882304989212,-2.467885202823868
0.08124598470945463,0.022273149763827514,0.620836233365376,-2.530334393274443
0.0770628712893239,0.026487867337242184,0.22752461525907108,-2.705342464300294
0.0751285293923252,0.03630913400353048,0.07570389375749374,-3.393781832541986
0.08052690170585725,0.03989432035458033,0.1889247057171462,-4.187353434351308
0.06828842974349549,0.01851354034811968,0.618877660063178,-1.771463588187143
0.08555453935352018,0.028491681815993677,0.47518574725693163,-3.2065025587051683
0.07793688536447999,0.026493859779730823,0.4487956532175766,-2.537174447058969
0.06127709247486286,0.03258361293826511,0.975457977369591,-1.458898299777853
0.06234252456014093,0.03692772434916363,0.5839369009086629,-1.7315937043523897
0.0663431418506768,0.01850467773874309,0.7838340042734431,-1.649647307340535
0.06990217141008073,0.024108978802138366,0.1946566721494346,-2.1439829815132665
0.10487362304452497,0.019110635501452793,0.5975986515021267,-4.265008407616824
0.0656285156199693,0.023258589869939686,0.07207312986507153,-1.926715076849711
0.06777258586494264,0.03910657204085408,0.18353798917247255,-2.71112217452055
0.06044434122984057,0.021547210949108546,0.3266209067770952,-1.5112209888204098
0.060842754174526566,0.027222373026274675,0.4498690480206583,-1.5315812720329487
0.07967203159939659,0.01769971609704065,0.9219789212673932,-2.2437843347639532
0.08453319334876526,0.02578893360040539,0.9187290643786774,-2.658791239263148
0.07066676929961353,0.02584928451775151,0.47539952404002694,-2.035726626762388
